<VarList>
var.group[0].here[0],var.group[0].here[1],var.group[0].here[2],var.group[0].setpoint[0],var.group[0].setpoint[1],var.group[0].setpoint[2],var.group[0].vtfb,
<SampleList>
|6;1190.634000,707.943000,185.175000,1188.333000,569.387000,284.197000,1985.444000,
|7;1190.685000,701.441000,189.805000,1188.333000,562.901000,288.881000,1995.547000,
|8;1190.726000,694.948000,194.452000,1188.333000,556.415000,293.564000,1995.969000,
|9;1190.751000,688.466000,199.101000,1188.333000,549.930000,298.248000,1994.369000,
|10;1190.779000,681.961000,203.749000,1188.333000,543.444000,302.932000,1998.797000,
|11;1190.799000,675.467000,208.403000,1188.333000,536.959000,307.615000,1997.304000,
|12;1190.824000,668.954000,213.064000,1188.333000,530.473000,312.299000,2002.074000,
|13;1190.832000,662.452000,217.713000,1188.333000,523.987000,316.983000,1998.532000,
|14;1190.835000,655.946000,222.369000,1188.333000,517.502000,321.666000,1999.877000,
|15;1190.838000,649.446000,227.020000,1188.333000,511.016000,326.350000,1998.286000,
|16;1190.854000,642.925000,231.672000,1188.333000,504.530000,331.034000,2002.426000,
|17;1190.860000,636.425000,236.318000,1188.334000,498.045000,335.717000,1997.473000,
|18;1190.876000,629.913000,240.971000,1188.334000,491.559000,340.401000,2000.987000,
|19;1190.889000,623.404000,245.624000,1188.334000,485.074000,345.085000,2000.309000,
|20;1190.894000,616.914000,250.278000,1188.334000,478.588000,349.768000,1996.398000,
|21;1190.913000,610.395000,254.928000,1188.334000,472.102000,354.452000,2001.940000,
|22;1190.917000,603.908000,259.573000,1188.334000,465.617000,359.136000,1994.602000,
|23;1190.920000,597.417000,264.209000,1188.334000,459.131000,363.819000,1994.272000,
|24;1190.926000,590.921000,268.853000,1188.334000,452.645000,368.503000,1996.322000,
|25;1190.919000,584.442000,273.498000,1188.334000,446.160000,373.187000,1992.993000,
|26;1190.914000,577.962000,278.142000,1188.334000,439.674000,377.870000,1992.913000,
|27;1190.913000,571.491000,282.799000,1188.334000,433.189000,382.554000,1993.385000,
|28;1190.914000,565.008000,287.452000,1188.335000,426.703000,387.238000,1994.821000,
|29;1190.913000,558.539000,292.110000,1188.335000,420.217000,391.921000,1992.918000,
|30;1190.911000,552.069000,296.772000,1188.335000,413.732000,396.605000,1993.692000,
|31;1190.920000,545.581000,301.434000,1188.335000,407.246000,401.289000,1997.297000,
|32;1190.919000,539.108000,306.098000,1188.335000,400.761000,405.972000,1994.653000,
|33;1190.915000,532.637000,310.755000,1188.335000,394.275000,410.656000,1993.097000,
|34;1190.915000,526.154000,315.421000,1188.335000,387.789000,415.340000,1996.862000,
