<VarList>
var.group[0].here[0],var.group[0].here[1],var.group[0].here[2],var.group[0].setpoint[0],var.group[0].setpoint[1],var.group[0].setpoint[2],var.group[0].vtfb
<SampleList>
|1;630.929,241.41,601.998,630.929,241.409,601.998,0.024
|2;630.93,241.409,601.997,630.929,241.409,601.998,0.096
|3;630.93,241.409,601.998,630.929,241.409,601.998,0.136
|4;630.93,241.409,601.998,630.929,241.409,601.998,0.028
|5;630.93,241.409,601.998,630.929,241.409,601.998,0.075
|6;630.93,241.409,601.998,630.929,241.409,601.998,0.128
|7;630.93,241.409,601.998,630.929,241.409,601.998,0.028
|8;630.929,241.409,601.998,630.929,241.409,601.998,0.156
|9;630.93,241.41,601.998,630.929,241.409,601.998,0.078
|10;630.93,241.41,601.998,630.929,241.409,601.998,0.081
|11;630.93,241.41,601.998,630.929,241.409,601.998,0.148
|12;630.929,241.409,601.998,630.929,241.409,601.998,0.085
|13;630.929,241.409,601.998,630.929,241.409,601.998,0.081
|14;630.93,241.409,601.998,630.929,241.409,601.998,0.099
|15;630.93,241.409,601.998,630.929,241.409,601.998,0.099
|16;630.93,241.409,601.998,630.929,241.409,601.998,0.038
|17;630.929,241.409,601.999,630.929,241.409,601.998,0.102
|18;630.929,241.409,601.998,630.929,241.409,601.998,0.133
|19;630.93,241.409,601.999,630.929,241.409,601.998,0.105
|20;630.93,241.409,601.999,630.929,241.409,601.998,0
|21;630.929,241.409,601.998,630.929,241.409,601.998,0.087
|22;630.93,241.409,601.998,630.929,241.409,601.998,0.143
|23;630.93,241.409,601.998,630.929,241.409,601.998,0.102
|24;630.93,241.41,601.998,630.929,241.409,601.998,0.077
|25;630.93,241.409,601.998,630.929,241.409,601.998,0.096
|26;630.929,241.409,601.999,630.929,241.409,601.998,0.096
|27;630.929,241.409,601.999,630.929,241.409,601.998,0.134
|28;630.929,241.409,601.999,630.929,241.409,601.998,0.066
|29;630.929,241.409,601.999,630.929,241.409,601.998,0
|30;630.929,241.409,601.998,630.929,241.409,601.998,0.111
|31;630.929,241.409,601.998,630.929,241.409,601.998,0
|32;630.929,241.409,601.998,630.929,241.409,601.998,0.075
|33;630.93,241.409,601.998,630.929,241.409,601.998,0.139
|34;630.929,241.409,601.998,630.929,241.409,601.998,0.075
|35;630.929,241.409,601.998,630.929,241.409,601.998,0
|36;630.93,241.409,601.998,630.929,241.409,601.998,0.062
|37;630.93,241.41,601.998,630.929,241.409,601.998,0.186
|38;630.93,241.409,601.998,630.929,241.409,601.998,0.075
|39;630.93,241.409,601.998,630.929,241.409,601.998,0.132
|40;630.93,241.409,601.998,630.929,241.409,601.998,0.064
|41;630.93,241.409,601.998,630.929,241.409,601.998,0.065
|42;630.93,241.409,601.997,630.929,241.409,601.998,0.13
|43;630.93,241.409,601.998,630.929,241.409,601.998,0.081
|44;630.929,241.409,601.998,630.929,241.409,601.998,0.148
|45;630.929,241.409,601.998,630.929,241.409,601.998,0
|46;630.929,241.409,601.998,630.929,241.409,601.998,0.077
|47;630.929,241.409,601.998,630.929,241.409,601.998,0.015
|48;630.929,241.409,601.998,630.929,241.409,601.998,0.093
|49;630.929,241.409,601.998,630.929,241.409,601.998,0.083
|50;630.929,241.409,601.998,630.929,241.409,601.998,0.077
|51;630.929,241.409,601.998,630.929,241.409,601.998,0.028
|52;630.929,241.409,601.998,630.929,241.409,601.998,0.077
|53;630.929,241.409,601.998,630.929,241.409,601.998,0.062
|54;630.929,241.409,601.998,630.929,241.409,601.998,0.089
|55;630.929,241.409,601.998,630.929,241.409,601.998,0
|56;630.929,241.41,601.998,630.929,241.409,601.998,0.148
|57;630.929,241.409,601.998,630.929,241.409,601.998,0.015
|58;630.929,241.409,601.998,630.929,241.409,601.998,0.077
|59;630.93,241.409,601.998,630.929,241.409,601.998,0.072
|60;630.93,241.409,601.998,630.929,241.409,601.998,0.038
|61;630.929,241.409,601.998,630.929,241.409,601.998,0.077
|62;630.93,241.409,601.998,630.929,241.409,601.998,0.077
|63;630.93,241.409,601.998,630.929,241.409,601.998,0
|64;630.93,241.409,601.998,630.929,241.409,601.998,0.015
|65;630.93,241.409,601.998,630.929,241.409,601.998,0.065
|66;630.929,241.409,601.999,630.929,241.409,601.998,0.148
|67;630.93,241.409,601.998,630.929,241.409,601.998,0.116
|68;630.93,241.409,601.998,630.929,241.409,601.998,0.015
|69;630.93,241.409,601.998,630.929,241.409,601.998,0.015
|70;630.93,241.409,601.999,630.929,241.409,601.998,0.077
|71;630.93,241.409,601.998,630.929,241.409,601.998,0.168
|72;630.93,241.409,601.998,630.929,241.409,601.998,0.081
|73;630.93,241.409,601.998,630.929,241.409,601.998,0
|74;630.93,241.409,601.998,630.929,241.409,601.998,0.148
|75;630.93,241.409,601.998,630.929,241.409,601.998,0.089
|76;630.93,241.409,601.998,630.929,241.409,601.998,0.112
|77;630.93,241.409,601.998,630.929,241.409,601.998,0.154
|78;630.93,241.409,601.998,630.929,241.409,601.998,0.015
|79;630.929,241.409,601.998,630.929,241.409,601.998,0.128
|80;630.93,241.409,601.998,630.929,241.409,601.998,0.117
|81;630.929,241.409,601.998,630.929,241.409,601.998,0.083
|82;630.929,241.409,601.998,630.929,241.409,601.998,0.077
|83;630.929,241.409,601.998,630.929,241.409,601.998,0.067
|84;630.929,241.409,601.998,630.929,241.409,601.998,0.075
|85;630.93,241.409,601.998,630.929,241.409,601.998,0.078
|86;630.93,241.41,601.998,630.929,241.409,601.998,0.107
|87;630.93,241.409,601.998,630.929,241.409,601.998,0.162
|88;630.93,241.409,601.998,630.929,241.409,601.998,0.067
|89;630.929,241.409,601.998,630.929,241.409,601.998,0.099
|90;630.929,241.408,601.999,630.929,241.409,601.998,0.135
|91;630.929,241.408,601.999,630.929,241.409,601.998,0
|92;630.929,241.409,601.998,630.929,241.409,601.998,0.163
|93;630.929,241.408,601.998,630.929,241.409,601.998,0.038
|94;630.929,241.409,601.998,630.929,241.409,601.998,0.153
|95;630.929,241.409,601.998,630.929,241.409,601.998,0.097
|96;630.929,241.409,601.998,630.929,241.409,601.998,0.07
|97;630.929,241.409,601.998,630.929,241.409,601.998,0.015
|98;630.929,241.409,601.999,630.929,241.409,601.998,0.098
|99;630.929,241.409,601.998,630.929,241.409,601.998,0.194
|100;630.929,241.409,601.998,630.929,241.409,601.998,0.081
|101;630.929,241.409,601.998,630.929,241.409,601.998,0.117
|102;630.929,241.409,601.999,630.929,241.409,601.998,0.078
|103;630.929,241.409,601.999,630.929,241.409,601.998,0.093
|104;630.929,241.409,601.999,630.929,241.409,601.998,0.077
|105;630.929,241.409,601.999,630.929,241.409,601.998,0.089
|106;630.929,241.409,601.999,630.929,241.409,601.998,0.038
|107;630.929,241.409,601.999,630.929,241.409,601.998,0.024
|108;630.929,241.409,601.998,630.929,241.409,601.998,0.098
|109;630.93,241.409,601.998,630.929,241.409,601.998,0.067
|110;630.93,241.409,601.998,630.929,241.409,601.998,0.097
|111;630.929,241.409,601.998,630.929,241.409,601.998,0.089
|112;630.929,241.409,601.998,630.929,241.409,601.998,0.089
|113;630.929,241.409,601.998,630.929,241.409,601.998,0.024
|114;630.929,241.409,601.999,630.929,241.409,601.998,0.136
|115;630.929,241.409,601.999,630.929,241.409,601.998,0.028
|116;630.929,241.409,601.998,630.929,241.409,601.998,0.075
|117;630.929,241.409,601.998,630.929,241.409,601.998,0
|118;630.929,241.409,601.999,630.929,241.409,601.998,0.067
|119;630.929,241.409,601.998,630.929,241.409,601.998,0.143
|120;630.929,241.409,601.998,630.929,241.409,601.998,0.095
|121;630.929,241.409,601.998,630.929,241.409,601.998,0.024
|122;630.929,241.409,601.998,630.929,241.409,601.998,0.024
|123;630.929,241.409,601.998,630.929,241.409,601.998,0.075
|124;630.929,241.409,601.999,630.929,241.409,601.998,0.136
|125;630.929,241.409,601.998,630.929,241.409,601.998,0.096
|126;630.929,241.409,601.998,630.929,241.409,601.998,0.077
|127;630.929,241.409,601.998,630.929,241.409,601.998,0.117
|128;630.929,241.409,601.998,630.929,241.409,601.998,0.12
|129;630.929,241.409,601.997,630.929,241.409,601.998,0.154
|130;630.93,241.409,601.997,630.929,241.409,601.998,0.081
|131;630.93,241.409,601.997,630.929,241.409,601.998,0.076
|132;630.93,241.409,601.998,630.929,241.409,601.998,0.077
|133;630.929,241.409,601.998,630.929,241.409,601.998,0.029
|134;630.93,241.409,601.998,630.929,241.409,601.998,0.077
|135;630.929,241.409,601.998,630.929,241.409,601.998,0.075
|136;630.93,241.408,601.998,630.929,241.409,601.998,0.075
|137;630.929,241.409,601.998,630.929,241.409,601.998,0.105
|138;630.929,241.409,601.998,630.929,241.409,601.998,0
|139;630.929,241.409,601.998,630.929,241.409,601.998,0.12
|140;630.929,241.409,601.998,630.929,241.409,601.998,0.028
|141;630.929,241.409,601.998,630.929,241.409,601.998,0.081
|142;630.929,241.409,601.998,630.929,241.409,601.998,0.089
|143;630.929,241.409,601.998,630.929,241.409,601.998,0.076
|144;630.929,241.409,601.998,630.929,241.409,601.998,0.015
|145;630.929,241.409,601.998,630.929,241.409,601.998,0.096
|146;630.929,241.409,601.998,630.929,241.409,601.998,0.067
|147;630.929,241.409,601.998,630.929,241.409,601.998,0.13
|148;630.929,241.409,601.998,630.929,241.409,601.998,0.077
|149;630.929,241.409,601.998,630.929,241.409,601.998,0.092
|150;630.929,241.409,601.999,630.929,241.409,601.998,0.141
|151;630.929,241.409,601.999,630.929,241.409,601.998,0.077
|152;630.929,241.409,601.999,630.929,241.409,601.998,0.081
|153;630.929,241.409,601.999,630.929,241.409,601.998,0.122
|154;630.929,241.409,601.998,630.929,241.409,601.998,0.144
|155;630.929,241.409,601.998,630.929,241.409,601.998,0.065
|156;630.929,241.409,601.998,630.929,241.409,601.998,0.015
|157;630.929,241.409,601.998,630.929,241.409,601.998,0.075
|158;630.93,241.409,601.998,630.929,241.409,601.998,0.059
|159;630.929,241.41,601.998,630.929,241.409,601.998,0.066
|160;630.93,241.409,601.998,630.929,241.409,601.998,0.028
|161;630.929,241.409,601.998,630.929,241.409,601.998,0.103
|162;630.929,241.409,601.998,630.929,241.409,601.998,0.125
|163;630.93,241.409,601.998,630.929,241.409,601.998,0.105
|164;630.93,241.409,601.998,630.929,241.409,601.998,0.015
|165;630.929,241.409,601.998,630.929,241.409,601.998,0.075
|166;630.93,241.409,601.998,630.929,241.409,601.998,0.139
|167;630.93,241.409,601.998,630.929,241.409,601.998,0.015
|168;630.93,241.409,601.998,630.929,241.409,601.998,0
|169;630.929,241.409,601.998,630.929,241.409,601.998,0.143
|170;630.93,241.409,601.998,630.929,241.409,601.998,0.075
|171;630.93,241.409,601.998,630.929,241.409,601.998,0.028
|172;630.929,241.409,601.998,630.929,241.409,601.998,0.075
|173;630.93,241.409,601.998,630.929,241.409,601.998,0.099
|174;630.93,241.409,601.998,630.929,241.409,601.998,0.064
|175;630.929,241.409,601.998,630.929,241.409,601.998,0.097
|176;630.93,241.409,601.998,630.929,241.409,601.998,0.028
|177;630.93,241.409,601.998,630.929,241.409,601.998,0.076
|178;630.93,241.409,601.998,630.929,241.409,601.998,0.134
|179;630.929,241.409,601.998,630.929,241.409,601.998,0.096
|180;630.929,241.409,601.998,630.929,241.409,601.998,0
|181;630.929,241.409,601.998,630.929,241.409,601.998,0.094
|182;630.929,241.409,601.998,630.929,241.409,601.998,0.077
|183;630.929,241.409,601.998,630.929,241.409,601.998,0.077
|184;630.929,241.409,601.998,630.929,241.409,601.998,0.038
|185;630.929,241.409,601.998,630.929,241.409,601.998,0.081
|186;630.929,241.409,601.999,630.929,241.409,601.998,0.085
|187;630.929,241.409,601.999,630.929,241.409,601.998,0.066
|188;630.929,241.409,601.999,630.929,241.409,601.998,0
|189;630.929,241.409,601.998,630.929,241.409,601.998,0.126
|190;630.929,241.409,601.998,630.929,241.409,601.998,0.024
|191;630.929,241.409,601.998,630.929,241.409,601.998,0.015
|192;630.929,241.409,601.998,630.929,241.409,601.998,0.107
|193;630.929,241.409,601.998,630.929,241.409,601.998,0.081
|194;630.929,241.409,601.998,630.929,241.409,601.998,0.015
|195;630.929,241.409,601.998,630.929,241.409,601.998,0.081
|196;630.929,241.409,601.998,630.929,241.409,601.998,0.077
|197;630.93,241.409,601.997,630.929,241.409,601.998,0.18
|198;630.93,241.41,601.997,630.929,241.409,601.998,0.081
|199;630.93,241.41,601.998,630.929,241.409,601.998,0.077
|200;630.93,241.41,601.998,630.929,241.409,601.998,0.065
|201;630.93,241.41,601.998,630.929,241.409,601.998,0.175
|202;630.929,241.409,601.999,630.929,241.409,601.998,0.067
|203;630.929,241.409,601.998,630.929,241.409,601.998,0.07
|204;630.929,241.409,601.998,630.929,241.409,601.998,0.103
|205;630.929,241.409,601.998,630.929,241.409,601.998,0.139
|206;630.929,241.409,601.998,630.929,241.409,601.998,0.077
|207;630.93,241.409,601.998,630.929,241.409,601.998,0.024
|208;630.93,241.409,601.998,630.929,241.409,601.998,0
|209;630.929,241.409,601.998,630.929,241.409,601.998,0.097
|210;630.93,241.409,601.998,630.929,241.409,601.998,0.038
|211;630.929,241.409,601.998,630.929,241.409,601.998,0.116
|212;630.93,241.409,601.998,630.929,241.409,601.998,0.101
|213;630.93,241.409,601.998,630.929,241.409,601.998,0.028
|214;630.93,241.409,601.998,630.929,241.409,601.998,0.024
|215;630.929,241.409,601.998,630.929,241.409,601.998,0.062
|216;630.929,241.409,601.998,630.929,241.409,601.998,0.085
|217;630.929,241.409,601.999,630.929,241.409,601.998,0.148
|218;630.929,241.408,601.999,630.929,241.409,601.998,0.081
|219;630.929,241.409,601.999,630.929,241.409,601.998,0.134
|220;630.929,241.409,601.999,630.929,241.409,601.998,0
|221;630.929,241.409,601.998,630.929,241.409,601.998,0.107
|222;630.929,241.409,601.998,630.929,241.409,601.998,0.015
|223;630.929,241.409,601.998,630.929,241.409,601.998,0.029
|224;630.929,241.409,601.998,630.929,241.409,601.998,0.028
|225;630.929,241.409,601.998,630.929,241.409,601.998,0.095
|226;630.929,241.409,601.999,630.929,241.409,601.998,0.111
|227;630.929,241.409,601.999,630.929,241.409,601.998,0.081
|228;630.929,241.409,601.998,630.929,241.409,601.998,0.139
|229;630.929,241.41,601.998,630.929,241.409,601.998,0.107
|230;630.929,241.41,601.998,630.929,241.409,601.998,0
|231;630.93,241.41,601.998,630.929,241.409,601.998,0.101
|232;630.93,241.409,601.998,630.929,241.409,601.998,0.089
|233;630.929,241.409,601.998,630.929,241.409,601.998,0.075
|234;630.93,241.409,601.998,630.929,241.409,601.998,0.089
|235;630.929,241.409,601.998,630.929,241.409,601.998,0.085
|236;630.93,241.408,601.999,630.929,241.409,601.998,0.13
|237;630.929,241.409,601.998,630.929,241.409,601.998,0.13
